feat0,depth,distance,MMAP
color,None,d1,0.18244280198177873
color,300,d1,0.20782170540422257
color,200,d1,0.2369437497978644
color,100,d1,0.2883803618084293
color,50,d1,0.33488585666429643
color,30,d1,0.3832797813666587
color,10,d1,0.4426385537918871
color,5,d1,0.45596666666666663
color,3,d1,0.45266666666666666
color,1,d1,0.42200000000000004
res,None,d1,0.7430678812806201
res,300,d1,0.7490671826571557
res,200,d1,0.758264613079168
res,100,d1,0.7894891539476602
res,50,d1,0.8274006867678323
res,30,d1,0.8647090425669262
res,10,d1,0.9330711649827137
res,5,d1,0.9526350102196852
res,3,d1,0.9582548081433531
res,1,d1,0.9570492228789443
