feat0,feat1,depth,distance,MMAP
color,daisy,None,d1,0.16155925048676
color,daisy,300,d1,0.18755698621630126
color,daisy,200,d1,0.21833395271920075
color,daisy,100,d1,0.2684724484017353
color,daisy,50,d1,0.32077583012337274
color,daisy,30,d1,0.3590009832161381
color,daisy,10,d1,0.4276607190098261
color,daisy,5,d1,0.44695277777777775
color,daisy,3,d1,0.4433333333333333
color,daisy,1,d1,0.40399999999999997
color,edge,None,d1,0.08012303461069145
color,edge,300,d1,0.10364863723024119
color,edge,200,d1,0.1285543861523958
color,edge,100,d1,0.1803368823401108
color,edge,50,d1,0.22770310393788976
color,edge,30,d1,0.2580609239917112
color,edge,10,d1,0.299337619047619
color,edge,5,d1,0.30104444444444445
color,edge,3,d1,0.2876666666666667
color,edge,1,d1,0.24600000000000002
color,gabor,None,d1,0.16705040813605834
color,gabor,300,d1,0.19415721225801932
color,gabor,200,d1,0.2260099747339358
color,gabor,100,d1,0.2756040073067581
color,gabor,50,d1,0.33058901215563685
color,gabor,30,d1,0.3682755078201109
color,gabor,10,d1,0.43321288170823885
color,gabor,5,d1,0.45382777777777783
color,gabor,3,d1,0.4555
color,gabor,1,d1,0.41200000000000003
color,hog,None,d1,0.15384781863870922
color,hog,300,d1,0.17788792853576893
color,hog,200,d1,0.20719985407961775
color,hog,100,d1,0.2548821375226103
color,hog,50,d1,0.306122292429868
color,hog,30,d1,0.34994110941498435
color,hog,10,d1,0.4171052078609221
color,hog,5,d1,0.42538055555555554
color,hog,3,d1,0.4236666666666667
color,hog,1,d1,0.38199999999999995
color,vgg,None,d1,0.22377603308354954
color,vgg,300,d1,0.2567678284823487
color,vgg,200,d1,0.30082434683421827
color,vgg,100,d1,0.3666435145149324
color,vgg,50,d1,0.43260635782276957
color,vgg,30,d1,0.4861273277572784
color,vgg,10,d1,0.5865899719702695
color,vgg,5,d1,0.6209472222222222
color,vgg,3,d1,0.6271666666666667
color,vgg,1,d1,0.5820000000000001
color,res,None,d1,0.19032593296778721
color,res,300,d1,0.20496105818794055
color,res,200,d1,0.23204506986550646
color,res,100,d1,0.2896111115851567
color,res,50,d1,0.3430226485570046
color,res,30,d1,0.3830595127392165
color,res,10,d1,0.44286709415675335
color,res,5,d1,0.45760089825011774
color,res,3,d1,0.4511850430557861
color,res,1,d1,0.4091911794775572
daisy,edge,None,d1,0.07704880115180451
daisy,edge,300,d1,0.09873372499043033
daisy,edge,200,d1,0.12185057456974285
daisy,edge,100,d1,0.1687260306263444
daisy,edge,50,d1,0.21373393362891024
daisy,edge,30,d1,0.2405326527216938
daisy,edge,10,d1,0.2760648544973545
daisy,edge,5,d1,0.2759388888888889
daisy,edge,3,d1,0.26616666666666666
daisy,edge,1,d1,0.22599999999999998
daisy,hog,None,d1,0.1451716105684238
